OBJECTID,bcr_label,bcr_label_name,name_en,name_fr,name_sp,globalid,SHAPE_Length,SHAPE_Area
310,8E,Boreal Softwood Shield East,Boreal Softwood Shield East,Forêt boréale du bouclier est,,{BF191456-1A50-46AA-83BC-EE9E175741E3},12924.099082146,6630527.12478383
311,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{2C21085E-005D-4066-B373-63D328B4CAB1},3750.06728590898,658332.467592939
312,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{96862607-AB44-4328-BE86-2DA7A2F1EF32},4909.91004196276,989079.065743766
313,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{16FD00ED-4D3E-4425-BE0B-4E36BF746F0A},376406.996434698,667748521.063341
314,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{EDF67797-26A7-4006-9567-DDDFA27A0C58},71685.955686681,85917665.9319224
315,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{53CA1829-BABF-41B3-A601-CDBFB9EADE34},5026.67349972907,1524075.59798708
316,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{CF608113-EBBE-4936-B3C9-C0A9CD772793},4424.58756130606,1116399.16307959
317,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{3951A9EE-0B0E-4100-A854-F29C3A12D6DB},9417.05663180562,5328701.16185658
318,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{63D51A68-40E6-4CEE-A36D-625FF9D0CC46},199767.791554218,219250681.805011
319,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{9A2FDB55-D18B-4181-8253-82604DB13E45},3311.16356331759,654962.228450415
320,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{A38A506F-B69C-4E3A-BA99-BD2FA383A018},11162.3486120763,4176093.72498895
321,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{10583041-1E1A-49F8-B9D4-6656E4474B24},4034.41718599698,1051051.20424248
322,7E,Taiga Shield East,Taiga Shield East,Taïga du bouclier est,,{CC8EF674-558A-4398-B0F8-D0B116ACF25A},3669.73480118937,907756.013630471
